鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,土地,河堤段六小段481~510地號,4.0,商,,,1081021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,400000,,0.0,0,,RPOOMLLKJIOFFAA96CA
文山區,房地(土地+建物),臺北市文山區木新路三段211~240號,40.75,住,,,1081007,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,109.36,4,0,4,有,無,11850000,108358,,0.0,0,含增建或未登記建物。;,RPWOMLMKJIOFFAA87CA
文山區,房地(土地+建物),臺北市文山區福興路78巷20弄31~60號,33.81,住,,,1081006,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691007,109.42,3,2,2,有,無,10000000,91391,,0.0,0,含增建或未登記建物。;,RPRNMLNKJIOFFAA37CA
文山區,房地(土地+建物)+車位,臺北市文山區忠順街一段10巷1~30號,32.19,住,,,1080428,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840717,163.53,3,2,2,有,有,21000000,128417,坡道平面,0.0,0,,RPVNMLNKJIOFFAA77CA
文山區,房地(土地+建物),臺北市文山區萬壽路25巷1~30號,60.25,住,,,1081023,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,204.79,3,2,3,有,有,67203400,328158,,0.0,0,本件買賣合約以美金計價且記載依簽約當日美金換算新台幣匯率為基準,RPUOMLOKJIOFFAA87CA
中正區,房地(土地+建物),臺北市中正區?m門街61~90號,10.65,商,,,1080922,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,88.7,2,1,1,有,有,18250000,205750,,0.0,0,,RPTNMLPKJIOFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路25巷1~30號,16.99,住,,,1080728,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,80.31,3,2,2,有,有,11100000,162966,坡道平面,16.8,750000,建商與地主合建案。;地主多選坪數以兒子名義購買。本次移轉車位0.37個,RPQOMLPKJIOFFAA57CA
中正區,房地(土地+建物),臺北市中正區詔安街276巷1~30號,35.75,住,,,1081029,土地1建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0580715,97.41,3,2,1,有,無,15800000,162201,,0.0,0,,RPTNMLNJKIOFFAA57CA
文山區,房地(土地+建物),臺北市文山區興隆路三段185巷7弄1~30號,25.98,住,,,1080928,土地7建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720823,86.72999999999999,3,2,2,有,無,8000000,92240,,0.0,0,,RPPOMLPJKIOFFAA47CA
大同區,房地(土地+建物),臺北市大同區庫倫街31~60號,24.7,商,,,1081009,土地2建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830304,159.28,3,2,2,有,無,25880000,162481,,0.0,0,含增建或未登記建物。;,RPVOMLLKJIOFFBA77CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段281巷1~30號,36.75,住,,,1080707,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621210,92.02,3,2,2,有,無,11000000,119539,,0.0,0,含增建或未登記建物。;,RPRNMLMKJIOFFBA37CA
大同區,房地(土地+建物),臺北市大同區承德路三段61~90號,14.62,商,,,1081007,土地2建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870212,94.12,2,2,1,有,有,18700000,198683,,0.0,0,含增建或未登記建物。;,RPROMLMKJIOFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區萬大路424巷1~30號,30.42,住,,,1081009,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0730216,106.7,0,1,1,有,無,21000000,196813,,0.0,0,,RPTOMLMKJIOFFBA67CA
大同區,房地(土地+建物),臺北市大同區天水路31~60號,18.33,商,,,1081024,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610320,86.98,0,0,0,無,有,13000000,149460,,0.0,0,,RPQNMLPKJIOFFBA57CA
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街61~90號,17.94,商,,,1080906,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,272.04999999999995,4,2,1,有,有,51200000,220925,坡道平面,56.14,3500000,,RPTNMLSKJIOFFBA18CA
萬華區,房地(土地+建物)+車位,臺北市萬華區萬大路423巷32弄1~30號,36.96,住,,,1081024,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870824,162.23000000000002,3,2,2,有,有,18300000,112803,坡道平面,0.0,0,,RPQOMLSKJIOFFBA97CA
中正區,房地(土地+建物),臺北市中正區忠孝東路一段151~180號,5.54,商,,,1050918,土地1建物1車位0,七層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080807,57.32,1,1,1,有,有,18800000,327983,,0.0,0,,RPOOMLKLJIOFFBA07CA
中正區,房地(土地+建物)+車位,臺北市中正區忠孝東路一段151~180號,5.64,商,,,1080411,土地1建物1車位1,八層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080807,76.58,1,1,1,有,有,21000000,340197,塔式車位,20.73,2000000,,RPPOMLKLJIOFFBA17CA
中正區,房地(土地+建物),臺北市中正區忠孝東路一段151~180號,7.22,商,,,1080805,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,74.67,2,1,1,有,有,27000000,361591,,0.0,0,,RPQOMLKLJIOFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區昆明街151~180號,22.71,商,,,1080925,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610325,101.45,3,2,1,有,無,14000000,137999,,0.0,0,,RPWPMLLLJIOFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路121~150號,9.71,商,,,1080924,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,154.9,2,2,2,有,有,28000000,180762,坡道平面,31.12,0,,RPQOMLPLJIOFFBA77CA
內湖區,房地(土地+建物),臺北市內湖區五分街91~120號,11.6,住,,,1081013,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960709,52.2,2,1,1,有,有,9960000,190805,,0.0,0,含增建或未登記建物。;,RPURMLLKJIOFFCA08CA
中山區,房地(土地+建物),臺北市中山區林森北路107巷61~90號,15.16,商,,,1080922,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751127,82.64,1,1,1,有,無,12080000,146176,,0.0,0,含增建或未登記建物。;,RPSNMLMKJIOFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路132巷69弄1~30號,72.94,住,,,1080930,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861028,175.0,3,2,2,有,有,31680000,181029,坡道平面,0.0,0,含增建或未登記建物。;,RPUOMLMKJIOFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段450巷22弄1~30號,15.95,住,,,1081011,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870925,96.16999999999999,2,2,1,有,有,16800000,174691,坡道機械,19.0,0,含增建或未登記建物。;,RPVNMLNKJIOFFCA97CA
