行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價,申報地價,核定申報地價情形
中正區,臨沂段四小段,03150000,2113.0,0001,A,1,1,"134,502","134,502",按公告地價100%申報
中正區,臨沂段四小段,03160000,2388.0,0001,A,1,1,"134,070","134,070",按公告地價100%申報
中正區,成功段一小段,01210000,1521.0,0001,,7025,594,"110,146","110,146",按公告地價100%申報
中正區,成功段一小段,01210001,1915.0,0001,,7025,594,"110,146","110,146",按公告地價100%申報
中正區,成功段一小段,01220000,2303.0,0001,,7025,594,"110,146","110,146",按公告地價100%申報
中正區,成功段一小段,01220002,16.0,0001,,7025,594,"110,146","110,146",按公告地價100%申報
中正區,成功段一小段,02380000,5655.0,0001,A,1,1,"133,382","133,382",按公告地價100%申報
中正區,成功段一小段,02400000,4101.0,0001,A,1,1,"135,566","135,566",按公告地價100%申報
中正區,公園段二小段,00090000,49.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00180000,103.0,0001,A,1,1,"217,000","217,000",按公告地價100%申報
中正區,公園段二小段,00170000,4.0,0001,A,1,1,"217,000","217,000",按公告地價100%申報
中正區,公園段二小段,00160000,45.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00150000,16.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00140000,43.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00130000,15.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00120000,43.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00110000,14.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00100000,52.0,0001,A,1,1,"239,800","239,800",按公告地價100%申報
中正區,公園段二小段,00350000,174.0,0001,A,1,1,"217,491","217,491",按公告地價100%申報
中正區,公園段二小段,00340000,707.0,0001,A,1,1,"217,491","217,491",按公告地價100%申報
中正區,公園段二小段,00330000,2328.0,0001,A,1,1,"159,578","159,578",按公告地價100%申報
中正區,公園段二小段,00320000,518.0,0001,A,1,1,"190,874","190,874",按公告地價100%申報
中正區,公園段二小段,00310000,100.0,0001,A,1,1,"190,874","190,874",按公告地價100%申報
中正區,公園段二小段,00300000,21.0,0001,A,1,1,"214,000","214,000",按公告地價100%申報
中正區,公園段二小段,00290000,17.0,0001,A,1,1,"217,000","217,000",按公告地價100%申報
中正區,公園段二小段,00280000,57.0,0001,A,1,1,"217,000","217,000",按公告地價100%申報
中正區,公園段二小段,00270000,4.0,0001,A,1,1,"217,000","217,000",按公告地價100%申報
中正區,公園段二小段,00520000,29.0,0001,A,1,1,"178,203","178,203",按公告地價100%申報
中正區,公園段二小段,00510000,239.0,0001,A,1,1,"178,203","178,203",按公告地價100%申報
中正區,公園段二小段,00500000,16.0,0001,A,1,1,"176,841","176,841",按公告地價100%申報
中正區,公園段二小段,00490000,129.0,0001,A,1,1,"176,841","176,841",按公告地價100%申報
中正區,公園段二小段,00480000,565.0,0001,A,1,1,"201,035","201,035",按公告地價100%申報
中正區,公園段二小段,00470000,67.0,0001,A,1,1,"201,035","201,035",按公告地價100%申報
中正區,公園段二小段,00460000,11.0,0001,A,1,1,"159,578","159,578",按公告地價100%申報
中正區,公園段二小段,00450000,87.0,0001,A,1,1,"228,452","228,452",按公告地價100%申報
中正區,公園段二小段,00440000,17.0,0001,A,1,1,"228,452","228,452",按公告地價100%申報
中正區,城中段一小段,06990000,541.0,0001,A,1,1,"142,455","142,455",按公告地價100%申報
中正區,城中段一小段,06790000,21.0,0001,A,1,1,"154,000","154,000",按公告地價100%申報
中正區,城中段一小段,06780000,8.0,0001,A,1,1,"154,000","154,000",按公告地價100%申報
中正區,城中段一小段,03970000,235.0,0001,A,1,1,"154,000","154,000",按公告地價100%申報
中正區,城中段一小段,03960000,75.0,0001,A,1,1,"154,000","154,000",按公告地價100%申報
中正區,公園段二小段,03400000,263.0,0001,A,1,1,"350,481","350,481",按公告地價100%申報
中正區,公園段二小段,03390000,113.0,0001,A,1,1,"350,481","350,481",按公告地價100%申報
中正區,公園段二小段,03370000,166.0,0001,A,1,1,"302,200","302,200",按公告地價100%申報
中正區,公園段二小段,03360000,301.0,0001,A,1,1,"302,200","302,200",按公告地價100%申報
中正區,城中段一小段,07270002,15.0,0001,A,1,1,"170,000","170,000",按公告地價100%申報
中正區,城中段一小段,07270001,21.0,0001,A,1,1,"170,000","170,000",按公告地價100%申報
中正區,城中段一小段,07270000,80.0,0001,A,1,1,"169,935","169,935",按公告地價100%申報
中正區,城中段一小段,07260000,15.0,0001,A,1,1,"170,000","170,000",按公告地價100%申報
中正區,城中段一小段,07250000,75.0,0001,A,1,1,"170,000","170,000",按公告地價100%申報
